age_upon_outcome,sex_upon_outcome,animal_type,breed,color
35,3,1,457,388
35,3,1,457,388
31,3,1,457,388
35,3,1,170,374
35,3,1,170,374
31,3,1,170,374
42,2,1,398,372
42,2,0,552,297
38,2,1,900,475
42,2,1,719,215
35,3,1,459,117
13,2,1,398,175
13,2,1,398,175
12,2,1,398,175
31,2,0,552,136
14,1,1,479,311
40,3,0,552,136
12,2,1,115,112
40,3,1,115,55
40,1,1,488,154
44,2,1,1140,432
9,2,1,1010,37
38,2,1,923,7
40,2,1,398,182
44,3,1,857,7
40,2,1,901,118
44,3,1,969,388
42,2,1,1088,173
40,2,1,1088,173
40,2,1,1088,173
42,3,1,88,55
40,2,1,720,199
40,3,0,552,391
35,2,1,674,444
35,2,1,674,444
31,2,1,674,444
35,3,1,734,416
35,3,1,734,416
31,3,1,734,416
9,3,0,790,391
44,2,1,901,173
44,2,1,901,173
38,2,1,901,173
35,3,0,1052,289
38,2,1,590,326
35,2,1,901,432
7,2,1,590,52
42,3,1,901,388
40,3,1,901,388
40,3,1,901,388
40,2,1,570,55
35,2,1,988,416
35,2,1,988,416
11,2,1,540,434
11,3,1,263,55
31,2,0,552,136
9,3,1,875,434
31,3,1,792,432
40,3,1,720,117
38,2,1,662,475
40,3,1,734,55
27,2,0,552,305
31,3,1,1167,7
40,2,0,552,7
38,2,0,552,467
42,3,0,552,184
38,2,1,398,388
35,2,1,398,388
40,2,1,720,55
31,2,0,551,136
7,2,1,65,66
14,2,1,488,311
31,3,0,1052,289
7,3,1,65,312
31,2,1,901,434
21,2,1,901,434
40,2,1,768,117
40,3,1,217,115
10,3,1,398,117
31,3,0,552,184
38,3,1,720,372
40,2,1,831,278
31,3,0,552,401
40,3,1,945,444
31,2,1,398,388
27,2,1,398,388
31,2,0,552,7
38,3,1,720,55
35,3,1,900,432
42,2,1,410,117
35,2,1,901,444
35,2,0,1052,289
40,2,1,900,388
38,2,1,900,388
35,2,0,552,149
40,3,1,842,388
31,3,1,353,475
42,2,1,901,13
38,3,1,620,52
9,3,1,398,432
35,3,1,152,52
40,3,1,1055,311
40,2,1,900,115
38,3,1,741,173
40,3,1,1062,481
40,3,1,1056,117
11,3,1,115,173
40,2,0,552,305
31,2,0,552,305
40,1,1,719,481
38,2,0,552,297
9,1,1,45,118
38,3,0,1052,289
38,3,1,590,416
31,2,1,1065,272
38,2,1,590,154
38,2,1,884,432
38,2,1,901,173
